,owner__participant__code,owner__session__code,owner__round_number,name,timestamp,body,owner__gamified,owner__crash_probability,owner__training,owner__exit_price,owner__subsession__starting_price,owner__subsession__max_length,current_price,priceIndex,secs_since_round_starts,subsession.tick_frequency,exit_crash,exit_sell,exit_hodl,mindchanges,exit_correct,gamified_first,player.gender,player.age,player.education,FinScore,player.study_major,player.course_financial,player.trading_experience,player.online_trading_experience,player.trading_frequency,player.portfolio_frequency,player.asset_class,player.use_leverage,censoring
0,zq0lniht,mv9ewgi2,2,Trade_ends,2021-11-12 17:21:43.468786+00:00,"{""currentPrice"": 29, ""priceIndex"": 19, ""secs_since_round_starts"": 41}",False,0.02,False,29.0,10.0,30.0,29,19,41,2.0,0,1,0,0,1,0,Female,23.0,master,7,Other,0.0,1.0,1.0,Monthly,Weekly,"Derivatives (Options, Futures)",No,1000
1,zq0lniht,mv9ewgi2,3,Trade_ends,2021-11-12 17:22:19.756526+00:00,"{""currentPrice"": 0, ""priceIndex"": 16, ""secs_since_round_starts"": 32}",False,0.05,False,0.0,10.0,30.0,0,16,32,2.0,1,0,0,0,1,0,Female,23.0,master,7,Other,0.0,1.0,1.0,Monthly,Weekly,"Derivatives (Options, Futures)",No,32
2,zq0lniht,mv9ewgi2,4,Trade_ends,2021-11-12 17:23:05.648367+00:00,"{""currentPrice"": 29, ""priceIndex"": 19, ""secs_since_round_starts"": 39}",False,0.02,False,29.0,10.0,30.0,29,19,39,2.0,0,1,0,0,1,0,Female,23.0,master,7,Other,0.0,1.0,1.0,Monthly,Weekly,"Derivatives (Options, Futures)",No,1000
3,zq0lniht,mv9ewgi2,5,Trade_ends,2021-11-12 17:23:37.310673+00:00,"{""currentPrice"": 21, ""priceIndex"": 13, ""secs_since_round_starts"": 27}",False,0.05,False,21.0,10.0,30.0,21,13,27,2.0,0,1,0,0,1,0,Female,23.0,master,7,Other,0.0,1.0,1.0,Monthly,Weekly,"Derivatives (Options, Futures)",No,1000
4,zq0lniht,mv9ewgi2,6,Trade_ends,2021-11-12 17:24:19.643472+00:00,"{""currentPrice"": 20, ""priceIndex"": 18, ""secs_since_round_starts"": 38}",True,0.05,False,20.0,10.0,30.0,20,18,38,2.0,0,1,0,0,1,0,Female,23.0,master,7,Other,0.0,1.0,1.0,Monthly,Weekly,"Derivatives (Options, Futures)",No,1000
5,zq0lniht,mv9ewgi2,7,Trade_ends,2021-11-12 17:24:35.388061+00:00,"{""currentPrice"": 0, ""priceIndex"": 3, ""secs_since_round_starts"": 6}",True,0.02,False,0.0,10.0,30.0,0,3,6,2.0,1,0,0,0,1,0,Female,23.0,master,7,Other,0.0,1.0,1.0,Monthly,Weekly,"Derivatives (Options, Futures)",No,6
6,zq0lniht,mv9ewgi2,8,Trade_ends,2021-11-12 17:25:00.892033+00:00,"{""currentPrice"": 0, ""priceIndex"": 5, ""secs_since_round_starts"": 10}",True,0.05,False,0.0,10.0,30.0,0,5,10,2.0,1,0,0,0,1,0,Female,23.0,master,7,Other,0.0,1.0,1.0,Monthly,Weekly,"Derivatives (Options, Futures)",No,10
7,zq0lniht,mv9ewgi2,9,Trade_ends,2021-11-12 17:25:43.685066+00:00,"{""currentPrice"": 23, ""priceIndex"": 17, ""secs_since_round_starts"": 35}",True,0.02,False,23.0,10.0,30.0,23,17,35,2.0,0,1,0,0,1,0,Female,23.0,master,7,Other,0.0,1.0,1.0,Monthly,Weekly,"Derivatives (Options, Futures)",No,1000
8,9fbgs9ic,mv9ewgi2,2,Trade_ends,2021-11-12 18:04:58.993599+00:00,"{""currentPrice"": 13, ""priceIndex"": 3, ""secs_since_round_starts"": 10}",True,0.02,False,13.0,10.0,30.0,13,3,10,2.0,0,1,0,0,1,1,Female,23.0,undergraduate: 4th year,2,Other,0.0,1.0,1.0,Weekly,Daily,Cryptocurrencies,Yes,1000
9,9fbgs9ic,mv9ewgi2,3,Trade_ends,2021-11-12 18:05:09.936200+00:00,"{""currentPrice"": 0, ""priceIndex"": 3, ""secs_since_round_starts"": 6}",True,0.05,False,0.0,10.0,30.0,0,3,6,2.0,1,0,0,0,1,1,Female,23.0,undergraduate: 4th year,2,Other,0.0,1.0,1.0,Weekly,Daily,Cryptocurrencies,Yes,6
10,9fbgs9ic,mv9ewgi2,4,Trade_ends,2021-11-12 18:05:35.228633+00:00,"{""currentPrice"": 18, ""priceIndex"": 4, ""secs_since_round_starts"": 20}",True,0.02,False,18.0,10.0,30.0,18,4,20,2.0,0,1,0,2,1,1,Female,23.0,undergraduate: 4th year,2,Other,0.0,1.0,1.0,Weekly,Daily,Cryptocurrencies,Yes,1000
11,9fbgs9ic,mv9ewgi2,5,Trade_ends,2021-11-12 18:05:47.606561+00:00,"{""currentPrice"": 14, ""priceIndex"": 3, ""secs_since_round_starts"": 8}",True,0.05,False,14.0,10.0,30.0,14,3,8,2.0,0,1,0,0,1,1,Female,23.0,undergraduate: 4th year,2,Other,0.0,1.0,1.0,Weekly,Daily,Cryptocurrencies,Yes,1000
12,9fbgs9ic,mv9ewgi2,6,Trade_ends,2021-11-12 18:06:16.733419+00:00,"{""currentPrice"": 19, ""priceIndex"": 9, ""secs_since_round_starts"": 22}",False,0.05,False,19.0,10.0,30.0,19,9,22,2.0,0,1,0,0,1,1,Female,23.0,undergraduate: 4th year,2,Other,0.0,1.0,1.0,Weekly,Daily,Cryptocurrencies,Yes,1000
13,9fbgs9ic,mv9ewgi2,7,Trade_ends,2021-11-12 18:06:54.124418+00:00,"{""currentPrice"": 19, ""priceIndex"": 15, ""secs_since_round_starts"": 32}",False,0.02,False,19.0,10.0,30.0,19,15,32,2.0,0,1,0,0,1,1,Female,23.0,undergraduate: 4th year,2,Other,0.0,1.0,1.0,Weekly,Daily,Cryptocurrencies,Yes,1000
14,9fbgs9ic,mv9ewgi2,8,Trade_ends,2021-11-12 18:07:06.401951+00:00,"{""currentPrice"": 0, ""priceIndex"": 4, ""secs_since_round_starts"": 8}",False,0.05,False,0.0,10.0,30.0,0,4,8,2.0,1,0,0,0,1,1,Female,23.0,undergraduate: 4th year,2,Other,0.0,1.0,1.0,Weekly,Daily,Cryptocurrencies,Yes,8
