,owner__participant__code,owner__session__code,owner__round_number,name,timestamp,body,owner__gamified,owner__crash_probability,owner__training,current_price,priceIndex,secs_since_round_starts,subsession.tick_frequency,exit_crash,exit_sell,exit_hodl,mindchanges,exit_correct,player.gender,player.age,player.education,FinScore,player.study_major,player.course_financial,player.trading_experience,player.online_trading_experience,player.trading_frequency,player.portfolio_frequency,player.asset_class,player.use_leverage,censoring
267,yu2cpitw,9pqvaeel,5,Trade_ends,2021-11-10 01:11:25.541706+00:00,"{""currentPrice"": 11, ""priceIndex"": 2, ""secs_since_round_starts"": 8}",True,0.06,False,11,2,8,3.0,0,1,0,0,1,Female,24.0,undergraduate: 4th year,6,Other,0.0,0.0,0.0,Less than once a month,Less than once a month,Stocks,Do not know,1000
268,20ke17js,9pqvaeel,6,Trade_ends,2021-11-10 01:11:28.358331+00:00,"{""currentPrice"": 0, ""priceIndex"": 21, ""secs_since_round_starts"": 42}",True,0.03,False,0,21,42,2.0,1,0,0,0,1,Female,29.0,master,5,Other,0.0,0.0,0.0,Less than once a month,Less than once a month,Stocks,Do not know,42
269,r225pk58,9pqvaeel,3,Trade_ends,2021-11-10 01:11:29.421983+00:00,"{""currentPrice"": 26, ""priceIndex"": 18, ""secs_since_round_starts"": 58}",True,0.03,False,26,18,58,3.0,0,1,0,0,1,Male,20.0,undergraduate: 4th year,10,Other,0.0,1.0,1.0,Weekly,Daily,Stocks,No,1000
270,m38fv8um,9pqvaeel,9,Trade_ends,2021-11-10 01:11:34.930886+00:00,"{""currentPrice"": 14, ""priceIndex"": 3, ""secs_since_round_starts"": 12}",True,0.06,False,14,3,12,3.0,0,1,0,0,1,Female,19.0,undergraduate: 2nd year,7,Other,0.0,0.0,1.0,Less than once a month,Less than once a month,Stocks,No,1000
271,r225pk58,9pqvaeel,4,Trade_ends,2021-11-10 01:11:40.055295+00:00,"{""currentPrice"": 0, ""priceIndex"": 2, ""secs_since_round_starts"": 4}",True,0.06,False,0,2,4,2.0,1,0,0,0,1,Male,20.0,undergraduate: 4th year,10,Other,0.0,1.0,1.0,Weekly,Daily,Stocks,No,4
272,eween4ii,9pqvaeel,2,Trade_ends,2021-11-10 01:11:40.378492+00:00,"{""currentPrice"": 14, ""priceIndex"": 5, ""secs_since_round_starts"": 12}",False,0.03,False,14,5,12,2.0,0,1,0,0,1,Male,19.0,undergraduate: 2nd year,9,Other,0.0,0.0,1.0,Less than once a month,Weekly,Stocks,No,1000
273,yu2cpitw,9pqvaeel,6,Trade_ends,2021-11-10 01:11:54.015483+00:00,"{""currentPrice"": 21, ""priceIndex"": 11, ""secs_since_round_starts"": 24}",False,0.03,False,21,11,24,2.0,0,1,0,0,1,Female,24.0,undergraduate: 4th year,6,Other,0.0,0.0,0.0,Less than once a month,Less than once a month,Stocks,Do not know,1000
274,20ke17js,9pqvaeel,7,Trade_ends,2021-11-10 01:11:54.558237+00:00,"{""currentPrice"": 14, ""priceIndex"": 6, ""secs_since_round_starts"": 21}",True,0.03,False,14,6,21,3.0,0,1,0,0,1,Female,29.0,master,5,Other,0.0,0.0,0.0,Less than once a month,Less than once a month,Stocks,Do not know,1000
275,eween4ii,9pqvaeel,3,Trade_ends,2021-11-10 01:12:01.870673+00:00,"{""currentPrice"": 15, ""priceIndex"": 5, ""secs_since_round_starts"": 17}",False,0.03,False,15,5,17,3.0,0,1,0,0,1,Male,19.0,undergraduate: 2nd year,9,Other,0.0,0.0,1.0,Less than once a month,Weekly,Stocks,No,1000
276,8d9c3qd9,9pqvaeel,6,Trade_ends,2021-11-10 01:12:07.067590+00:00,"{""currentPrice"": 40, ""priceIndex"": 25, ""secs_since_round_starts"": 50}",False,0.03,False,40,25,50,2.0,0,0,1,0,1,Male,23.0,undergraduate: 4th year,7,Other,0.0,1.0,1.0,Monthly,Weekly,Stocks,No,50
277,a2vn99wx,9pqvaeel,2,Trade_ends,2021-11-10 01:12:13.339720+00:00,"{""currentPrice"": 12, ""priceIndex"": 2, ""secs_since_round_starts"": 5}",False,0.03,False,12,2,5,2.0,0,1,0,0,1,Male,19.0,undergraduate: 2nd year,6,Other,1.0,1.0,1.0,Less than once a month,Monthly,Stocks,No,1000
278,eween4ii,9pqvaeel,4,Trade_ends,2021-11-10 01:12:14.034725+00:00,"{""currentPrice"": 15, ""priceIndex"": 3, ""secs_since_round_starts"": 7}",False,0.06,False,15,3,7,2.0,0,1,0,0,1,Male,19.0,undergraduate: 2nd year,9,Other,0.0,0.0,1.0,Less than once a month,Weekly,Stocks,No,1000
279,20ke17js,9pqvaeel,8,Trade_ends,2021-11-10 01:12:25.583491+00:00,"{""currentPrice"": 23, ""priceIndex"": 13, ""secs_since_round_starts"": 27}",True,0.06,False,23,13,27,2.0,0,1,0,0,1,Female,29.0,master,5,Other,0.0,0.0,0.0,Less than once a month,Less than once a month,Stocks,Do not know,1000
280,a2vn99wx,9pqvaeel,3,Trade_ends,2021-11-10 01:12:27.783525+00:00,"{""currentPrice"": 12, ""priceIndex"": 2, ""secs_since_round_starts"": 7}",False,0.03,False,12,2,7,3.0,0,1,0,0,1,Male,19.0,undergraduate: 2nd year,6,Other,1.0,1.0,1.0,Less than once a month,Monthly,Stocks,No,1000
281,r225pk58,9pqvaeel,5,Trade_ends,2021-11-10 01:12:29.025039+00:00,"{""currentPrice"": 19, ""priceIndex"": 13, ""secs_since_round_starts"": 42}",True,0.06,False,19,13,42,3.0,0,1,0,0,1,Male,20.0,undergraduate: 4th year,10,Other,0.0,1.0,1.0,Weekly,Daily,Stocks,No,1000
