,owner__participant__code,owner__session__code,owner__round_number,name,timestamp,body,owner__gamified,owner__crash_probability,owner__training,owner__exit_price,owner__subsession__starting_price,owner__subsession__max_length,current_price,priceIndex,secs_since_round_starts,subsession.tick_frequency,exit_crash,exit_sell,exit_hodl,mindchanges,exit_correct,gamified_first,player.gender,player.age,player.education,FinScore,player.study_major,player.course_financial,player.trading_experience,player.online_trading_experience,player.trading_frequency,player.portfolio_frequency,player.asset_class,player.use_leverage,censoring
133,ob7yc6i0,6jpxnq92,5,Trade_ends,2021-11-11 23:18:56.608670+00:00,"{""currentPrice"": 0, ""priceIndex"": 6, ""secs_since_round_starts"": 12}",True,0.06,False,0.0,10.0,30.0,0,6,12,2.0,1,0,0,0,1,1,Female,31.0,undergraduate: 1st year,5,Other,0.0,0.0,1.0,Less than once a month,Less than once a month,Stocks,No,12
134,ob7yc6i0,6jpxnq92,6,Trade_ends,2021-11-11 23:19:07.411674+00:00,"{""currentPrice"": 0, ""priceIndex"": 1, ""secs_since_round_starts"": 2}",False,0.02,False,0.0,10.0,30.0,0,1,2,2.0,1,0,0,0,1,1,Female,31.0,undergraduate: 1st year,5,Other,0.0,0.0,1.0,Less than once a month,Less than once a month,Stocks,No,2
135,ob7yc6i0,6jpxnq92,7,Trade_ends,2021-11-11 23:19:17.669672+00:00,"{""currentPrice"": 10, ""priceIndex"": 0, ""secs_since_round_starts"": 3}",False,0.02,False,10.0,10.0,30.0,10,0,3,2.0,0,1,0,0,1,1,Female,31.0,undergraduate: 1st year,5,Other,0.0,0.0,1.0,Less than once a month,Less than once a month,Stocks,No,1000
136,ob7yc6i0,6jpxnq92,8,Trade_ends,2021-11-11 23:19:38.654656+00:00,"{""currentPrice"": 18, ""priceIndex"": 6, ""secs_since_round_starts"": 14}",False,0.06,False,18.0,10.0,30.0,18,6,14,2.0,0,1,0,0,1,1,Female,31.0,undergraduate: 1st year,5,Other,0.0,0.0,1.0,Less than once a month,Less than once a month,Stocks,No,1000
137,hxhcerdj,6jpxnq92,2,Trade_ends,2021-11-11 23:20:04.496119+00:00,"{""currentPrice"": 0, ""priceIndex"": 7, ""secs_since_round_starts"": 14}",True,0.02,False,0.0,10.0,30.0,0,7,14,2.0,1,0,0,0,1,1,Female,20.0,undergraduate: 2nd year,8,Other,0.0,0.0,0.0,Less than once a month,Less than once a month,"Derivatives (Options, Futures)",No,14
138,ob7yc6i0,6jpxnq92,9,Trade_ends,2021-11-11 23:20:10.273372+00:00,"{""currentPrice"": 24, ""priceIndex"": 12, ""secs_since_round_starts"": 26}",False,0.06,False,24.0,10.0,30.0,24,12,26,2.0,0,1,0,0,1,1,Female,31.0,undergraduate: 1st year,5,Other,0.0,0.0,1.0,Less than once a month,Less than once a month,Stocks,No,1000
139,bkkuuue2,6jpxnq92,9,Trade_ends,2021-11-11 23:20:28.358739+00:00,"{""currentPrice"": 38, ""priceIndex"": 30, ""secs_since_round_starts"": 86}",True,0.06,False,38.0,10.0,30.0,38,30,86,2.0,0,0,1,2,1,0,Male,25.0,high-school graduate,7,Other,0.0,1.0,1.0,Weekly,Weekly,"Derivatives (Options, Futures)",Yes,86
140,37rqaykq,6jpxnq92,2,Trade_ends,2021-11-11 23:21:10.217527+00:00,"{""currentPrice"": 18, ""priceIndex"": 7, ""secs_since_round_starts"": 17}",False,0.02,False,18.0,10.0,30.0,18,7,17,2.0,0,1,0,0,1,0,Female,24.0,undergraduate: 4th year,7,Other,1.0,1.0,1.0,Monthly,Monthly,Cryptocurrencies,Yes,1000
141,hxhcerdj,6jpxnq92,3,Trade_ends,2021-11-11 23:21:16.871379+00:00,"{""currentPrice"": 39, ""priceIndex"": 30, ""secs_since_round_starts"": 60}",True,0.02,False,39.0,10.0,30.0,39,30,60,2.0,0,0,1,0,1,1,Female,20.0,undergraduate: 2nd year,8,Other,0.0,0.0,0.0,Less than once a month,Less than once a month,"Derivatives (Options, Futures)",No,60
142,v1mi7ubm,6jpxnq92,2,Trade_ends,2021-11-11 23:21:30.838540+00:00,"{""currentPrice"": 15, ""priceIndex"": 7, ""secs_since_round_starts"": 17}",True,0.02,False,15.0,10.0,30.0,15,7,17,2.0,0,1,0,0,1,1,Male,20.0,undergraduate: 3d year,6,Other Management,1.0,1.0,1.0,Daily,Multiple times a day,Cryptocurrencies,No,1000
143,hxhcerdj,6jpxnq92,4,Trade_ends,2021-11-11 23:21:38.914767+00:00,"{""currentPrice"": 0, ""priceIndex"": 7, ""secs_since_round_starts"": 14}",True,0.06,False,0.0,10.0,30.0,0,7,14,2.0,1,0,0,0,1,1,Female,20.0,undergraduate: 2nd year,8,Other,0.0,0.0,0.0,Less than once a month,Less than once a month,"Derivatives (Options, Futures)",No,14
