owner__participant__code,owner__session__code,owner__round_number,name,timestamp,body,owner__gamified,owner__crash_probability,owner__training,owner__exit_price,owner__subsession__starting_price,owner__subsession__tick_frequency,owner__subsession__max_length,current_price,priceIndex,secs_since_round_starts
hgslsxeg,9pqvaeel,1,Trade_ends,2021-11-10 00:57:35.367226+00:00,"{""currentPrice"": 36, ""priceIndex"": 25, ""secs_since_round_starts"": 56}",False,0.03,True,36.0,10.0,2.0,25.0,36,25,56
hgslsxeg,9pqvaeel,1,round_ends,2021-11-10 00:57:38.872547+00:00,"{""currentPrice"": 36, ""priceIndex"": 25, ""secs_since_round_starts"": 59}",False,0.03,True,36.0,10.0,2.0,25.0,36,25,59
hgslsxeg,9pqvaeel,2,Trade_starts,2021-11-10 00:57:43.287718+00:00,"{""currentPrice"": 10, ""priceIndex"": 0, ""secs_since_round_starts"": 0}",True,0.03,False,24.0,10.0,2.0,25.0,10,0,0
hgslsxeg,9pqvaeel,2,sellingDialogShown,2021-11-10 00:58:22.954122+00:00,"{""currentPrice"": 24, ""priceIndex"": 19, ""secs_since_round_starts"": 39}",True,0.03,False,24.0,10.0,2.0,25.0,24,19,39
hgslsxeg,9pqvaeel,2,Sell,2021-11-10 00:58:30.479402+00:00,"{""currentPrice"": 24, ""priceIndex"": 19, ""secs_since_round_starts"": 47}",True,0.03,False,24.0,10.0,2.0,25.0,24,19,47
hgslsxeg,9pqvaeel,2,Trade_ends,2021-11-10 00:58:30.522944+00:00,"{""currentPrice"": 24, ""priceIndex"": 19, ""secs_since_round_starts"": 47}",True,0.03,False,24.0,10.0,2.0,25.0,24,19,47
hgslsxeg,9pqvaeel,2,round_ends,2021-11-10 00:58:32.320331+00:00,"{""currentPrice"": 24, ""priceIndex"": 19, ""secs_since_round_starts"": 49}",True,0.03,False,24.0,10.0,2.0,25.0,24,19,49
hgslsxeg,9pqvaeel,3,Trade_starts,2021-11-10 00:58:34.939660+00:00,"{""currentPrice"": 10, ""priceIndex"": 0, ""secs_since_round_starts"": 0}",True,0.03,False,19.0,10.0,3.0,25.0,10,0,0
hgslsxeg,9pqvaeel,3,sellingDialogShown,2021-11-10 00:59:11.987912+00:00,"{""currentPrice"": 19, ""priceIndex"": 12, ""secs_since_round_starts"": 37}",True,0.03,False,19.0,10.0,3.0,25.0,19,12,37
hgslsxeg,9pqvaeel,3,Sell,2021-11-10 00:59:15.050238+00:00,"{""currentPrice"": 19, ""priceIndex"": 12, ""secs_since_round_starts"": 40}",True,0.03,False,19.0,10.0,3.0,25.0,19,12,40
