owner__participant__code,owner__session__code,owner__round_number,name,timestamp,body,owner__gamified,owner__crash_probability,owner__training,current_price,priceIndex,secs_since_round_starts
11b8cunt,9pqvaeel,3,round_ends,2021-11-10 01:48:18.201914+00:00,"{""currentPrice"": 35, ""priceIndex"": 25, ""secs_since_round_starts"": 78}",FALSE,0.03,FALSE,35,25,78
0cfoyoxq,9pqvaeel,1,Trade_starts,2021-11-10 01:48:22.171937+00:00,"{""currentPrice"": 10, ""priceIndex"": 0, ""secs_since_round_starts"": 0}",FALSE,0.03,TRUE,10,0,0
ncik57ga,9pqvaeel,2,sellingDialogShown,2021-11-10 01:48:23.061766+00:00,"{""currentPrice"": 21, ""priceIndex"": 12, ""secs_since_round_starts"": 25}",TRUE,0.03,FALSE,21,12,25
7gobkypf,9pqvaeel,2,Trade_starts,2021-11-10 01:48:23.909573+00:00,"{""currentPrice"": 10, ""priceIndex"": 0, ""secs_since_round_starts"": 0}",FALSE,0.03,FALSE,10,0,0
11b8cunt,9pqvaeel,4,Trade_starts,2021-11-10 01:48:24.033969+00:00,"{""currentPrice"": 10, ""priceIndex"": 0, ""secs_since_round_starts"": 0}",FALSE,0.06,FALSE,10,0,0
ncik57ga,9pqvaeel,2,Sell,2021-11-10 01:48:24.727584+00:00,"{""currentPrice"": 21, ""priceIndex"": 12, ""secs_since_round_starts"": 27}",TRUE,0.03,FALSE,21,12,27
ncik57ga,9pqvaeel,2,Trade_ends,2021-11-10 01:48:24.773401+00:00,"{""currentPrice"": 21, ""priceIndex"": 12, ""secs_since_round_starts"": 27}",TRUE,0.03,FALSE,21,12,27
l1rs6m7t,9pqvaeel,5,Trade_ends,2021-11-10 01:48:30.591556+00:00,"{""currentPrice"": 0, ""priceIndex"": 7, ""secs_since_round_starts"": 21}",TRUE,0.06,FALSE,0,7,21
l1rs6m7t,9pqvaeel,6,Trade_starts,2021-11-10 01:48:35.306521+00:00,"{""currentPrice"": 10, ""priceIndex"": 0, ""secs_since_round_starts"": 0}",FALSE,0.03,FALSE,10,0,0
2wututnc,9pqvaeel,4,Trade_ends,2021-11-10 01:48:36.791095+00:00,"{""currentPrice"": 0, ""priceIndex"": 10, ""secs_since_round_starts"": 20}",TRUE,0.06,FALSE,0,10,20
7gobkypf,9pqvaeel,2,sellingDialogShown,2021-11-10 01:48:40.941641+00:00,"{""currentPrice"": 19, ""priceIndex"": 8, ""secs_since_round_starts"": 17}",FALSE,0.03,FALSE,19,8,17
ncik57ga,9pqvaeel,3,Trade_starts,2021-11-10 01:48:41.586001+00:00,"{""currentPrice"": 10, ""priceIndex"": 0, ""secs_since_round_starts"": 0}",TRUE,0.03,FALSE,10,0,0
2wututnc,9pqvaeel,4,round_ends,2021-11-10 01:48:42.989323+00:00,"{""currentPrice"": 0, ""priceIndex"": 10, ""secs_since_round_starts"": 26}",TRUE,0.06,FALSE,0,10,26
7gobkypf,9pqvaeel,2,Sell,2021-11-10 01:48:43.310025+00:00,"{""currentPrice"": 19, ""priceIndex"": 8, ""secs_since_round_starts"": 19}",FALSE,0.03,FALSE,19,8,19
7gobkypf,9pqvaeel,2,Trade_ends,2021-11-10 01:48:43.355121+00:00,"{""currentPrice"": 19, ""priceIndex"": 8, ""secs_since_round_starts"": 19}",FALSE,0.03,FALSE,19,8,19
11b8cunt,9pqvaeel,4,Trade_ends,2021-11-10 01:48:45.967415+00:00,"{""currentPrice"": 0, ""priceIndex"": 11, ""secs_since_round_starts"": 22}",FALSE,0.06,FALSE,0,11,22
2wututnc,9pqvaeel,5,Trade_starts,2021-11-10 01:48:46.891788+00:00,"{""currentPrice"": 10, ""priceIndex"": 0, ""secs_since_round_starts"": 0}",TRUE,0.06,FALSE,10,0,0
7gobkypf,9pqvaeel,3,Trade_starts,2021-11-10 01:48:48.167154+00:00,"{""currentPrice"": 10, ""priceIndex"": 0, ""secs_since_round_starts"": 0}",FALSE,0.03,FALSE,10,0,0
2wututnc,9pqvaeel,5,Trade_ends,2021-11-10 01:48:49.839840+00:00,"{""currentPrice"": 0, ""priceIndex"": 1, ""secs_since_round_starts"": 3}",TRUE,0.06,FALSE,0,1,3
11b8cunt,9pqvaeel,5,Trade_starts,2021-11-10 01:48:52.390282+00:00,"{""currentPrice"": 10, ""priceIndex"": 0, ""secs_since_round_starts"": 0}",FALSE,0.06,FALSE,10,0,0
2wututnc,9pqvaeel,5,round_ends,2021-11-10 01:48:54.071022+00:00,"{""currentPrice"": 0, ""priceIndex"": 1, ""secs_since_round_starts"": 7}",TRUE,0.06,FALSE,0,1,7
2wututnc,9pqvaeel,6,Trade_starts,2021-11-10 01:48:59.904689+00:00,"{""currentPrice"": 10, ""priceIndex"": 0, ""secs_since_round_starts"": 0}",FALSE,0.03,FALSE,10,0,0
