,owner__participant__code,owner__session__code,owner__round_number,name,timestamp,body,owner__gamified,owner__crash_probability,owner__training,owner__exit_price,owner__subsession__starting_price,owner__subsession__max_length,current_price,priceIndex,secs_since_round_starts,subsession.tick_frequency,exit_crash,exit_sell,exit_hodl,mindchanges,exit_correct,gamified_first,player.gender,player.age,player.education,participant.payoff,FinScore,player.study_major,player.course_financial,player.trading_experience,player.online_trading_experience,player.trading_frequency,player.portfolio_frequency,player.asset_class,player.use_leverage,player.nationality,censoring,censoring_price
2036,3raofkjo,tcbozsj9,9,Trade_ends,2021-11-17 18:30:11.154971+00:00,"{""currentPrice"": 16, ""priceIndex"": 6, ""secs_since_round_starts"": 14}",False,0.02,False,16.0,10.0,30.0,16,6,14,2.0,0,1,0,0,1,1,Female,28.0,PhD,32,7,Other,0.0,0.0,0.0,Less than once a month,Daily,Stocks,No,US,1000,1000.0
2037,7zty628a,tcbozsj9,6,Trade_ends,2021-11-17 18:30:11.699885+00:00,"{""currentPrice"": 0, ""priceIndex"": 2, ""secs_since_round_starts"": 4}",True,0.05,False,0.0,10.0,30.0,0,2,4,2.0,1,0,0,0,1,0,Male,24.0,master,10,10,Other Management,0.0,1.0,0.0,Less than once a month,Daily,Cryptocurrencies,No,BG,4,0.0
2038,2je1hqot,tcbozsj9,3,Trade_ends,2021-11-17 18:30:16.447080+00:00,"{""currentPrice"": 0, ""priceIndex"": 2, ""secs_since_round_starts"": 4}",True,0.05,False,0.0,10.0,30.0,0,2,4,2.0,1,0,0,0,1,1,Male,25.0,master,8,8,Other,0.0,0.0,1.0,Weekly,Daily,Bonds,Yes,US,4,0.0
2039,t6cfhe7m,tcbozsj9,2,Trade_ends,2021-11-17 18:30:22.840597+00:00,"{""currentPrice"": 0, ""priceIndex"": 4, ""secs_since_round_starts"": 8}",False,0.02,False,0.0,10.0,30.0,0,4,8,2.0,1,0,0,0,1,0,Male,45.0,master,19,8,Other,0.0,0.0,0.0,Less than once a month,Less than once a month,Bonds,No,US,8,0.0
2040,ym2ds9cf,xm39f2ij,6,Trade_ends,2021-11-17 18:30:27.043234+00:00,"{""currentPrice"": 23, ""priceIndex"": 15, ""secs_since_round_starts"": 33}",True,0.05,False,23.0,10.0,30.0,23,15,33,2.0,0,1,0,0,1,0,Female,33.0,undergraduate: 4th year,21,4,Other,1.0,1.0,1.0,Daily,Daily,Stocks,No,CA,1000,1000.0
2041,j3tvg2jr,tcbozsj9,7,Trade_ends,2021-11-17 18:30:28.577486+00:00,"{""currentPrice"": 23, ""priceIndex"": 12, ""secs_since_round_starts"": 25}",False,0.02,False,23.0,10.0,30.0,23,12,25,2.0,0,1,0,0,1,1,Male,32.0,MBA,10,10,Other,1.0,1.0,1.0,Monthly,Multiple times a day,Stocks,Yes,US,1000,1000.0
2042,t6cfhe7m,tcbozsj9,3,Trade_ends,2021-11-17 18:30:35.781276+00:00,"{""currentPrice"": 11, ""priceIndex"": 1, ""secs_since_round_starts"": 5}",False,0.05,False,11.0,10.0,30.0,11,1,5,2.0,0,1,0,0,1,0,Male,45.0,master,19,8,Other,0.0,0.0,0.0,Less than once a month,Less than once a month,Bonds,No,US,1000,1000.0
2043,2mzdualp,tcbozsj9,2,Trade_ends,2021-11-17 18:30:35.927007+00:00,"{""currentPrice"": 32, ""priceIndex"": 30, ""secs_since_round_starts"": 60}",False,0.02,False,32.0,10.0,30.0,32,30,60,2.0,0,0,1,0,1,0,Male,38.0,PhD,10,10,Other,1.0,1.0,1.0,Weekly,Daily,Stocks,Yes,CN,60,1000.0
2044,7zty628a,tcbozsj9,7,Trade_ends,2021-11-17 18:30:42.510096+00:00,"{""currentPrice"": 0, ""priceIndex"": 12, ""secs_since_round_starts"": 24}",True,0.02,False,0.0,10.0,30.0,0,12,24,2.0,1,0,0,0,1,0,Male,24.0,master,10,10,Other Management,0.0,1.0,0.0,Less than once a month,Daily,Cryptocurrencies,No,BG,24,0.0
2045,qbkzmhfn,tcbozsj9,7,Trade_ends,2021-11-17 18:30:43.099486+00:00,"{""currentPrice"": 22, ""priceIndex"": 17, ""secs_since_round_starts"": 37}",False,0.02,False,22.0,10.0,30.0,22,17,37,2.0,0,1,0,0,1,1,Male,39.0,master,30,8,Other,0.0,1.0,0.0,Less than once a month,Weekly,Stocks,No,GB,1000,1000.0
2046,t6cfhe7m,tcbozsj9,4,Trade_ends,2021-11-17 18:30:49.774646+00:00,"{""currentPrice"": 13, ""priceIndex"": 3, ""secs_since_round_starts"": 8}",False,0.02,False,13.0,10.0,30.0,13,3,8,2.0,0,1,0,0,1,0,Male,45.0,master,19,8,Other,0.0,0.0,0.0,Less than once a month,Less than once a month,Bonds,No,US,1000,1000.0
2047,ym2ds9cf,xm39f2ij,7,Trade_ends,2021-11-17 18:30:50.308280+00:00,"{""currentPrice"": 19, ""priceIndex"": 7, ""secs_since_round_starts"": 16}",True,0.02,False,19.0,10.0,30.0,19,7,16,2.0,0,1,0,0,1,0,Female,33.0,undergraduate: 4th year,21,4,Other,1.0,1.0,1.0,Daily,Daily,Stocks,No,CA,1000,1000.0
2048,j3tvg2jr,tcbozsj9,8,Trade_ends,2021-11-17 18:30:52.899958+00:00,"{""currentPrice"": 17, ""priceIndex"": 10, ""secs_since_round_starts"": 21}",False,0.05,False,17.0,10.0,30.0,17,10,21,2.0,0,1,0,0,1,1,Male,32.0,MBA,10,10,Other,1.0,1.0,1.0,Monthly,Multiple times a day,Stocks,Yes,US,1000,1000.0
2049,mgnzivyw,tcbozsj9,2,Trade_ends,2021-11-17 18:30:54.168412+00:00,"{""currentPrice"": 22, ""priceIndex"": 16, ""secs_since_round_starts"": 34}",True,0.02,False,22.0,10.0,30.0,22,16,34,2.0,0,1,0,0,1,1,Male,29.0,undergraduate: 4th year,11,11,Other,1.0,1.0,1.0,Monthly,Weekly,Stocks,No,GB,1000,1000.0
2050,2je1hqot,tcbozsj9,4,Trade_ends,2021-11-17 18:30:57.632114+00:00,"{""currentPrice"": 25, ""priceIndex"": 18, ""secs_since_round_starts"": 37}",True,0.02,False,25.0,10.0,30.0,25,18,37,2.0,0,1,0,0,1,1,Male,25.0,master,8,8,Other,0.0,0.0,1.0,Weekly,Daily,Bonds,Yes,US,1000,1000.0
2051,t6cfhe7m,tcbozsj9,5,Trade_ends,2021-11-17 18:31:01.010843+00:00,"{""currentPrice"": 12, ""priceIndex"": 2, ""secs_since_round_starts"": 6}",False,0.05,False,12.0,10.0,30.0,12,2,6,2.0,0,1,0,0,1,0,Male,45.0,master,19,8,Other,0.0,0.0,0.0,Less than once a month,Less than once a month,Bonds,No,US,1000,1000.0
2052,l4dexb8r,tcbozsj9,2,Trade_ends,2021-11-17 18:31:03.312811+00:00,"{""currentPrice"": 32, ""priceIndex"": 18, ""secs_since_round_starts"": 39}",False,0.02,False,32.0,10.0,30.0,32,18,39,2.0,0,1,0,0,1,0,Male,55.0,master,33,9,Other Management,0.0,1.0,0.0,Less than once a month,Less than once a month,Bonds,No,GB,1000,1000.0
2053,qbkzmhfn,tcbozsj9,8,Trade_ends,2021-11-17 18:31:06.699662+00:00,"{""currentPrice"": 18, ""priceIndex"": 8, ""secs_since_round_starts"": 19}",False,0.05,False,18.0,10.0,30.0,18,8,19,2.0,0,1,0,0,1,1,Male,39.0,master,30,8,Other,0.0,1.0,0.0,Less than once a month,Weekly,Stocks,No,GB,1000,1000.0
2054,rolr3er9,tcbozsj9,2,Trade_ends,2021-11-17 18:31:10.627784+00:00,"{""currentPrice"": 12, ""priceIndex"": 3, ""secs_since_round_starts"": 10}",False,0.02,False,12.0,10.0,30.0,12,3,10,2.0,0,1,0,0,1,0,Male,48.0,master,24,7,Other,0.0,1.0,1.0,Monthly,Weekly,Stocks,No,US,1000,1000.0
