owner__participant__code,owner__session__code,owner__round_number,name,timestamp,body,owner__gamified,owner__crash_probability,owner__training,owner__exit_price,owner__subsession__starting_price,owner__subsession__tick_frequency,owner__subsession__max_length,current_price,priceIndex,secs_since_round_starts
l92bojqx,mv9ewgi2,3,round_ends,2021-11-12 19:47:41.097711+00:00,"{""currentPrice"": 16, ""priceIndex"": 7, ""secs_since_round_starts"": 19}",False,0.05,False,16.0,10.0,2.0,30.0,16,7,19
l92bojqx,mv9ewgi2,4,Trade_starts,2021-11-12 19:47:45.059963+00:00,"{""currentPrice"": 10, ""priceIndex"": 0, ""secs_since_round_starts"": 0}",False,0.02,False,30.0,10.0,2.0,30.0,10,0,0
vilzxcqv,mv9ewgi2,3,Trade_starts,2021-11-12 19:47:49.321973+00:00,"{""currentPrice"": 10, ""priceIndex"": 0, ""secs_since_round_starts"": 0}",True,0.05,False,0.0,10.0,2.0,30.0,10,0,0
77ps1c78,mv9ewgi2,2,Trade_starts,2021-11-12 19:47:49.950845+00:00,"{""currentPrice"": 10, ""priceIndex"": 0, ""secs_since_round_starts"": 0}",False,0.02,False,43.0,10.0,2.0,30.0,10,0,0
77ps1c78,mv9ewgi2,2,Trade_starts,2021-11-12 19:47:56.049363+00:00,"{""currentPrice"": 10, ""priceIndex"": 0, ""secs_since_round_starts"": 0}",False,0.02,False,43.0,10.0,2.0,30.0,10,0,0
67v8bxph,mv9ewgi2,4,Trade_ends,2021-11-12 19:48:03.657018+00:00,"{""currentPrice"": 37, ""priceIndex"": 30, ""secs_since_round_starts"": 60}",True,0.02,False,37.0,10.0,2.0,30.0,37,30,60
67v8bxph,mv9ewgi2,4,round_ends,2021-11-12 19:48:06.607180+00:00,"{""currentPrice"": 37, ""priceIndex"": 30, ""secs_since_round_starts"": 63}",True,0.02,False,37.0,10.0,2.0,30.0,37,30,63
67v8bxph,mv9ewgi2,5,Trade_starts,2021-11-12 19:48:10.673883+00:00,"{""currentPrice"": 10, ""priceIndex"": 0, ""secs_since_round_starts"": 0}",True,0.05,False,37.0,10.0,2.0,30.0,10,0,0
vilzxcqv,mv9ewgi2,3,Trade_ends,2021-11-12 19:48:23.162503+00:00,"{""currentPrice"": 0, ""priceIndex"": 17, ""secs_since_round_starts"": 34}",True,0.05,False,0.0,10.0,2.0,30.0,0,17,34
vilzxcqv,mv9ewgi2,3,round_ends,2021-11-12 19:48:25.468113+00:00,"{""currentPrice"": 0, ""priceIndex"": 17, ""secs_since_round_starts"": 36}",True,0.05,False,0.0,10.0,2.0,30.0,0,17,36
l92bojqx,mv9ewgi2,4,sellingDialogShown,2021-11-12 19:48:30.708243+00:00,"{""currentPrice"": 30, ""priceIndex"": 22, ""secs_since_round_starts"": 45}",False,0.02,False,30.0,10.0,2.0,30.0,30,22,45
