,owner__participant__code,owner__session__code,owner__round_number,name,timestamp,body,owner__gamified,owner__crash_probability,owner__training,owner__exit_price,owner__subsession__starting_price,owner__subsession__max_length,current_price,priceIndex,secs_since_round_starts,subsession.tick_frequency,exit_crash,exit_sell,exit_hodl,mindchanges,exit_correct,gamified_first,player.gender,player.age,player.education,participant.payoff,FinScore,player.study_major,player.course_financial,player.trading_experience,player.online_trading_experience,player.trading_frequency,player.portfolio_frequency,player.asset_class,player.use_leverage,player.nationality,censoring,censoring_price
580,t35g4p4m,xm39f2ij,2,Trade_ends,2021-11-17 17:45:42.436716+00:00,"{""currentPrice"": 0, ""priceIndex"": 8, ""secs_since_round_starts"": 16}",False,0.02,False,0.0,10.0,30.0,0,8,16,2.0,1,0,0,0,1,0,Female,40.0,undergraduate: 2nd year,5,5,Other Management,0.0,0.0,0.0,Less than once a month,Less than once a month,Stocks,No,CA,16,0.0
607,7zwc5ekp,tcbozsj9,2,Trade_ends,2021-11-17 17:46:15.102120+00:00,"{""currentPrice"": 16, ""priceIndex"": 7, ""secs_since_round_starts"": 18}",True,0.02,False,16.0,10.0,30.0,16,7,18,2.0,0,1,0,0,1,1,Male,37.0,master,23,7,Other,0.0,1.0,0.0,Weekly,Daily,Cryptocurrencies,No,GB,1000,1000.0
611,439onpb0,xm39f2ij,2,Trade_ends,2021-11-17 17:46:18.970543+00:00,"{""currentPrice"": 0, ""priceIndex"": 4, ""secs_since_round_starts"": 8}",True,0.02,False,0.0,10.0,30.0,0,4,8,2.0,1,0,0,0,1,1,Female,52.0,undergraduate: 4th year,8,8,Other Management,0.0,0.0,0.0,Less than once a month,Daily,Stocks,Do not know,CA,8,0.0
639,blab3o8h,xm39f2ij,2,Trade_ends,2021-11-17 17:47:10.275502+00:00,"{""currentPrice"": 0, ""priceIndex"": 21, ""secs_since_round_starts"": 42}",True,0.02,False,0.0,10.0,30.0,0,21,42,2.0,1,0,0,0,1,1,Male,41.0,undergraduate: 4th year,27,7,Other,0.0,1.0,1.0,Weekly,Weekly,Cryptocurrencies,No,GB,42,0.0
647,p0jus2om,xm39f2ij,2,Trade_ends,2021-11-17 17:47:22.132792+00:00,"{""currentPrice"": 19, ""priceIndex"": 8, ""secs_since_round_starts"": 19}",False,0.02,False,19.0,10.0,30.0,19,8,19,2.0,0,1,0,0,1,0,Male,52.0,undergraduate: 3d year,9,9,Other,0.0,0.0,0.0,Less than once a month,Less than once a month,Stocks,No,GB,1000,1000.0
652,mzdokl0c,tcbozsj9,2,Trade_ends,2021-11-17 17:47:33.625029+00:00,"{""currentPrice"": 46, ""priceIndex"": 26, ""secs_since_round_starts"": 55}",True,0.02,False,46.0,10.0,30.0,46,26,55,2.0,0,1,0,0,1,1,Male,34.0,undergraduate: 4th year,22,9,Finance,1.0,1.0,1.0,Weekly,Daily,Stocks,Yes,CA,1000,1000.0
661,9auirpx0,tcbozsj9,2,Trade_ends,2021-11-17 17:47:50.965180+00:00,"{""currentPrice"": 0, ""priceIndex"": 11, ""secs_since_round_starts"": 22}",True,0.02,False,0.0,10.0,30.0,0,11,22,2.0,1,0,0,0,1,1,Female,32.0,master,10,10,Finance,0.0,1.0,1.0,Daily,Daily,Stocks,Yes,CA,22,0.0
662,x3nzb43c,tcbozsj9,2,Trade_ends,2021-11-17 17:47:51.005388+00:00,"{""currentPrice"": 27, ""priceIndex"": 14, ""secs_since_round_starts"": 30}",True,0.02,False,27.0,10.0,30.0,27,14,30,2.0,0,1,0,0,1,1,Male,43.0,PhD,29,8,Other,0.0,1.0,0.0,Monthly,Weekly,Stocks,No,GB,1000,1000.0
667,ebqqnl4z,tcbozsj9,2,Trade_ends,2021-11-17 17:48:07.720768+00:00,"{""currentPrice"": 18, ""priceIndex"": 10, ""secs_since_round_starts"": 22}",False,0.02,False,18.0,10.0,30.0,18,10,22,2.0,0,1,0,0,1,0,Male,35.0,master,18,3,Other,0.0,0.0,0.0,Less than once a month,Less than once a month,Stocks,No,GB,1000,1000.0
670,q2246qfd,xm39f2ij,2,Trade_ends,2021-11-17 17:48:09.162043+00:00,"{""currentPrice"": 0, ""priceIndex"": 2, ""secs_since_round_starts"": 4}",True,0.02,False,0.0,10.0,30.0,0,2,4,2.0,1,0,0,0,1,1,Male,18.0,undergraduate: 1st year,11,11,Other,1.0,1.0,1.0,Weekly,Daily,Stocks,Yes,GB,4,0.0
671,c4y7ihmw,tcbozsj9,2,Trade_ends,2021-11-17 17:48:09.355788+00:00,"{""currentPrice"": 10, ""priceIndex"": 1, ""secs_since_round_starts"": 5}",False,0.02,False,10.0,10.0,30.0,10,1,5,2.0,0,1,0,0,1,0,Male,28.0,master,20,10,Economics,1.0,1.0,1.0,Monthly,Weekly,Stocks,No,GB,1000,1000.0
675,8k7tc6yx,xm39f2ij,2,Trade_ends,2021-11-17 17:48:14.639628+00:00,"{""currentPrice"": 25, ""priceIndex"": 15, ""secs_since_round_starts"": 33}",False,0.02,False,25.0,10.0,30.0,25,15,33,2.0,0,1,0,0,1,0,Male,63.0,high-school graduate,30,9,Finance,0.0,0.0,0.0,Less than once a month,Weekly,Bonds,No,GB,1000,1000.0
678,qiln6s76,xm39f2ij,2,Trade_ends,2021-11-17 17:48:23.544044+00:00,"{""currentPrice"": 27, ""priceIndex"": 14, ""secs_since_round_starts"": 29}",True,0.02,False,27.0,10.0,30.0,27,14,29,2.0,0,1,0,0,1,1,Male,36.0,undergraduate: 1st year,28,6,Other,0.0,1.0,1.0,Monthly,Daily,Cryptocurrencies,No,US,1000,1000.0
684,z8rwr59l,tcbozsj9,2,Trade_ends,2021-11-17 17:48:32.345400+00:00,"{""currentPrice"": 18, ""priceIndex"": 10, ""secs_since_round_starts"": 23}",False,0.02,False,18.0,10.0,30.0,18,10,23,2.0,0,1,0,0,1,0,Male,65.0,PhD,24,8,Other,0.0,1.0,1.0,Less than once a month,Monthly,Stocks,No,GB,1000,1000.0
685,coa1xw1e,xm39f2ij,2,Trade_ends,2021-11-17 17:48:38.619553+00:00,"{""currentPrice"": 0, ""priceIndex"": 1, ""secs_since_round_starts"": 2}",True,0.02,False,0.0,10.0,30.0,0,1,2,2.0,1,0,0,0,1,1,Female,37.0,high-school graduate,24,6,Other,0.0,1.0,1.0,Monthly,Monthly,Stocks,Do not know,GB,2,0.0
695,u86vk4o9,xm39f2ij,2,Trade_ends,2021-11-17 17:48:51.244728+00:00,"{""currentPrice"": 34, ""priceIndex"": 24, ""secs_since_round_starts"": 53}",True,0.02,False,34.0,10.0,30.0,34,24,53,2.0,0,1,0,1,1,1,Male,48.0,undergraduate: 3d year,6,6,Other,0.0,0.0,0.0,Less than once a month,Less than once a month,Stocks,No,GB,1000,1000.0
696,t9anx9ew,xm39f2ij,2,Trade_ends,2021-11-17 17:48:52.922156+00:00,"{""currentPrice"": 22, ""priceIndex"": 14, ""secs_since_round_starts"": 30}",False,0.02,False,22.0,10.0,30.0,22,14,30,2.0,0,1,0,0,1,0,Male,31.0,high-school graduate,41,8,Other,0.0,1.0,1.0,Weekly,Daily,Cryptocurrencies,No,GB,1000,1000.0
698,xrb3k6ym,xm39f2ij,2,Trade_ends,2021-11-17 17:48:54.534461+00:00,"{""currentPrice"": 35, ""priceIndex"": 30, ""secs_since_round_starts"": 60}",True,0.02,False,35.0,10.0,30.0,35,30,60,2.0,0,0,1,0,1,1,Male,64.0,undergraduate: 4th year,9,9,Other,0.0,0.0,1.0,Weekly,Weekly,Stocks,No,GB,60,1000.0
714,elisw1rf,xm39f2ij,2,Trade_ends,2021-11-17 17:49:22.477169+00:00,"{""currentPrice"": 19, ""priceIndex"": 8, ""secs_since_round_starts"": 20}",False,0.02,False,19.0,10.0,30.0,19,8,20,2.0,0,1,0,0,1,0,Male,68.0,undergraduate: 4th year,14,8,Other,0.0,1.0,0.0,Less than once a month,Daily,Stocks,No,US,1000,1000.0
717,scn8jfw6,xm39f2ij,2,Trade_ends,2021-11-17 17:49:25.673446+00:00,"{""currentPrice"": 39, ""priceIndex"": 30, ""secs_since_round_starts"": 60}",True,0.02,False,39.0,10.0,30.0,39,30,60,2.0,0,0,1,0,1,1,Female,21.0,undergraduate: 2nd year,41,2,Other,0.0,1.0,0.0,Less than once a month,Less than once a month,Stocks,No,GB,60,1000.0
723,hlj5f880,xm39f2ij,2,Trade_ends,2021-11-17 17:49:34.838637+00:00,"{""currentPrice"": 0, ""priceIndex"": 7, ""secs_since_round_starts"": 14}",True,0.02,False,0.0,10.0,30.0,0,7,14,2.0,1,0,0,0,1,1,Female,51.0,high-school graduate,21,5,Other,0.0,0.0,0.0,Less than once a month,Less than once a month,Stocks,No,GB,14,0.0
726,nkjesyk4,xm39f2ij,2,Trade_ends,2021-11-17 17:49:35.893573+00:00,"{""currentPrice"": 37, ""priceIndex"": 25, ""secs_since_round_starts"": 53}",False,0.02,False,37.0,10.0,30.0,37,25,53,2.0,0,1,0,0,1,0,Male,36.0,high-school graduate,41,7,Other,0.0,1.0,1.0,Monthly,Daily,Stocks,No,GB,1000,1000.0
733,x8ow4w96,xm39f2ij,2,Trade_ends,2021-11-17 17:49:43.919070+00:00,"{""currentPrice"": 41, ""priceIndex"": 30, ""secs_since_round_starts"": 60}",True,0.02,False,41.0,10.0,30.0,41,30,60,2.0,0,0,1,0,1,1,Male,53.0,undergraduate: 2nd year,8,8,Other,0.0,1.0,0.0,Monthly,Monthly,Stocks,No,GB,60,1000.0
734,vgs34wdv,tcbozsj9,2,Trade_ends,2021-11-17 17:49:46.268705+00:00,"{""currentPrice"": 44, ""priceIndex"": 30, ""secs_since_round_starts"": 60}",True,0.02,False,44.0,10.0,30.0,44,30,60,2.0,0,0,1,0,1,1,Male,25.0,master,10,10,Economics,1.0,1.0,1.0,Less than once a month,Multiple times a day,Stocks,No,GB,60,1000.0
756,8fvikanf,xm39f2ij,2,Trade_ends,2021-11-17 17:50:14.034740+00:00,"{""currentPrice"": 17, ""priceIndex"": 4, ""secs_since_round_starts"": 11}",False,0.02,False,17.0,10.0,30.0,17,4,11,2.0,0,1,0,0,1,0,Female,52.0,undergraduate: 2nd year,18,5,Other Management,0.0,0.0,0.0,Less than once a month,Weekly,Stocks,No,GB,1000,1000.0
762,ravr9upi,xm39f2ij,2,Trade_ends,2021-11-17 17:50:18.896987+00:00,"{""currentPrice"": 0, ""priceIndex"": 1, ""secs_since_round_starts"": 2}",False,0.02,False,0.0,10.0,30.0,0,1,2,2.0,1,0,0,0,1,0,Female,38.0,undergraduate: 3d year,22,6,Other,0.0,1.0,0.0,Less than once a month,Monthly,Stocks,No,GB,2,0.0
765,2acdsr69,tcbozsj9,2,Trade_ends,2021-11-17 17:50:21.042883+00:00,"{""currentPrice"": 22, ""priceIndex"": 16, ""secs_since_round_starts"": 36}",True,0.02,False,22.0,10.0,30.0,22,16,36,2.0,0,1,0,0,1,1,Male,59.0,PhD,39,9,Other,0.0,1.0,0.0,Less than once a month,Daily,Stocks,No,GB,1000,1000.0
772,0wn6c99m,xm39f2ij,2,Trade_ends,2021-11-17 17:50:31.507220+00:00,"{""currentPrice"": 40, ""priceIndex"": 26, ""secs_since_round_starts"": 55}",True,0.02,False,40.0,10.0,30.0,40,26,55,2.0,0,1,0,0,1,1,Male,53.0,high-school graduate,4,4,Other,0.0,0.0,1.0,Less than once a month,Monthly,Stocks,Do not know,GB,1000,1000.0
795,5f58kl5b,xm39f2ij,2,Trade_ends,2021-11-17 17:51:01.634671+00:00,"{""currentPrice"": 0, ""priceIndex"": 8, ""secs_since_round_starts"": 16}",True,0.02,False,0.0,10.0,30.0,0,8,16,2.0,1,0,0,0,1,1,Male,52.0,high-school graduate,5,5,Other,0.0,1.0,0.0,Monthly,Weekly,Bonds,No,GB,16,0.0
810,mylktc3m,tcbozsj9,2,Trade_ends,2021-11-17 17:51:16.810777+00:00,"{""currentPrice"": 35, ""priceIndex"": 30, ""secs_since_round_starts"": 60}",False,0.02,False,35.0,10.0,30.0,35,30,60,2.0,0,0,1,0,1,0,Male,48.0,master,10,10,Other,1.0,1.0,0.0,Monthly,Daily,Stocks,No,GB,60,1000.0
823,v786n99i,xm39f2ij,2,Trade_ends,2021-11-17 17:51:37.952187+00:00,"{""currentPrice"": 0, ""priceIndex"": 4, ""secs_since_round_starts"": 8}",True,0.02,False,0.0,10.0,30.0,0,4,8,2.0,1,0,0,0,1,1,Female,23.0,high-school graduate,24,4,Other,0.0,0.0,1.0,Monthly,Daily,Cryptocurrencies,No,GB,8,0.0
829,1llc9bym,xm39f2ij,2,Trade_ends,2021-11-17 17:51:47.223672+00:00,"{""currentPrice"": 18, ""priceIndex"": 11, ""secs_since_round_starts"": 24}",False,0.02,False,18.0,10.0,30.0,18,11,24,2.0,0,1,0,0,1,0,Male,41.0,high-school graduate,33,7,Other,0.0,1.0,1.0,Daily,Multiple times a day,Stocks,No,GB,1000,1000.0
837,il7nzhyx,xm39f2ij,2,Trade_ends,2021-11-17 17:52:06.526698+00:00,"{""currentPrice"": 0, ""priceIndex"": 4, ""secs_since_round_starts"": 8}",True,0.02,False,0.0,10.0,30.0,0,4,8,2.0,1,0,0,0,1,1,Male,36.0,undergraduate: 2nd year,7,7,Other Management,0.0,0.0,0.0,Less than once a month,Less than once a month,Cryptocurrencies,No,GB,8,0.0
842,d93lvl0q,xm39f2ij,2,Trade_ends,2021-11-17 17:52:09.232954+00:00,"{""currentPrice"": 26, ""priceIndex"": 13, ""secs_since_round_starts"": 29}",False,0.02,False,26.0,10.0,30.0,26,13,29,2.0,0,1,0,0,1,0,,,,27,8,,,,,,,,,CA,1000,1000.0
854,csrza0iz,xm39f2ij,2,Trade_ends,2021-11-17 17:52:35.229604+00:00,"{""currentPrice"": 0, ""priceIndex"": 22, ""secs_since_round_starts"": 46}",True,0.02,False,0.0,10.0,30.0,0,22,46,2.0,1,0,0,1,1,1,Female,22.0,undergraduate: 4th year,29,11,Other,1.0,1.0,1.0,Less than once a month,Daily,Stocks,No,US,46,0.0
857,ce5ncj18,tcbozsj9,2,Trade_ends,2021-11-17 17:52:39.195179+00:00,"{""currentPrice"": 0, ""priceIndex"": 27, ""secs_since_round_starts"": 54}",True,0.02,False,0.0,10.0,30.0,0,27,54,2.0,1,0,0,0,1,1,Male,37.0,master,39,9,Other,0.0,1.0,1.0,Less than once a month,Weekly,Stocks,No,GB,54,0.0
862,8tss4rci,xm39f2ij,2,Trade_ends,2021-11-17 17:52:47.604842+00:00,"{""currentPrice"": 44, ""priceIndex"": 30, ""secs_since_round_starts"": 60}",True,0.02,False,44.0,10.0,30.0,44,30,60,2.0,0,0,1,0,1,1,Female,55.0,high-school graduate,50,6,Other,0.0,0.0,0.0,Less than once a month,Less than once a month,Stocks,Do not know,GB,60,1000.0
871,j9yn226i,tcbozsj9,2,Trade_ends,2021-11-17 17:52:57.312201+00:00,"{""currentPrice"": 16, ""priceIndex"": 6, ""secs_since_round_starts"": 16}",False,0.02,False,16.0,10.0,30.0,16,6,16,2.0,0,1,0,0,1,0,Male,38.0,undergraduate: 4th year,17,5,Other,0.0,1.0,1.0,Less than once a month,Monthly,Cryptocurrencies,No,GB,1000,1000.0
875,97zjs4x0,tcbozsj9,2,Trade_ends,2021-11-17 17:53:00.932982+00:00,"{""currentPrice"": 0, ""priceIndex"": 3, ""secs_since_round_starts"": 6}",True,0.02,False,0.0,10.0,30.0,0,3,6,2.0,1,0,0,0,1,1,Female,53.0,master,47,7,Other,1.0,1.0,0.0,Less than once a month,Less than once a month,Bonds,No,GB,6,0.0
884,aftq5yfo,xm39f2ij,2,Trade_ends,2021-11-17 17:53:16.526986+00:00,"{""currentPrice"": 20, ""priceIndex"": 9, ""secs_since_round_starts"": 21}",False,0.02,False,20.0,10.0,30.0,20,9,21,2.0,0,1,0,0,1,0,Male,25.0,undergraduate: 3d year,32,7,Economics,1.0,1.0,1.0,Weekly,Multiple times a day,Stocks,Yes,US,1000,1000.0
885,figf3mqu,xm39f2ij,2,Trade_ends,2021-11-17 17:53:19.430339+00:00,"{""currentPrice"": 0, ""priceIndex"": 8, ""secs_since_round_starts"": 16}",True,0.02,False,0.0,10.0,30.0,0,8,16,2.0,1,0,0,0,1,1,Female,50.0,undergraduate: 4th year,7,7,Other,0.0,1.0,0.0,Less than once a month,Less than once a month,Stocks,Do not know,GB,16,0.0
889,clzjav9c,xm39f2ij,2,Trade_ends,2021-11-17 17:53:26.498004+00:00,"{""currentPrice"": 13, ""priceIndex"": 2, ""secs_since_round_starts"": 9}",False,0.02,False,13.0,10.0,30.0,13,2,9,2.0,0,1,0,0,1,0,Male,53.0,high-school graduate,22,9,Other,0.0,1.0,0.0,Weekly,Monthly,Stocks,No,GB,1000,1000.0
892,sz2uyfc9,xm39f2ij,2,Trade_ends,2021-11-17 17:53:27.428662+00:00,"{""currentPrice"": 31, ""priceIndex"": 23, ""secs_since_round_starts"": 48}",True,0.02,False,31.0,10.0,30.0,31,23,48,2.0,0,1,0,0,1,1,Male,29.0,undergraduate: 4th year,23,7,Other,0.0,1.0,1.0,Daily,Multiple times a day,Cryptocurrencies,No,GB,1000,1000.0
894,qu09fzth,tcbozsj9,2,Trade_ends,2021-11-17 17:53:28.934202+00:00,"{""currentPrice"": 0, ""priceIndex"": 16, ""secs_since_round_starts"": 32}",True,0.02,False,0.0,10.0,30.0,0,16,32,2.0,1,0,0,0,1,1,Male,53.0,MBA,16,5,Other Management,1.0,0.0,0.0,Less than once a month,Less than once a month,Stocks,No,GB,32,0.0
919,xxk59a4c,xm39f2ij,2,Trade_ends,2021-11-17 17:54:02.740689+00:00,"{""currentPrice"": 0, ""priceIndex"": 12, ""secs_since_round_starts"": 28}",True,0.02,False,0.0,10.0,30.0,0,12,28,2.0,1,0,0,1,1,1,Female,60.0,high-school graduate,18,6,Other,0.0,0.0,0.0,Less than once a month,Less than once a month,Stocks,No,GB,28,0.0
925,nbatmcll,xm39f2ij,2,Trade_ends,2021-11-17 17:54:09.508276+00:00,"{""currentPrice"": 12, ""priceIndex"": 2, ""secs_since_round_starts"": 6}",False,0.02,False,12.0,10.0,30.0,12,2,6,2.0,0,1,0,0,1,0,Female,19.0,undergraduate: 2nd year,33,4,Other Management,0.0,1.0,1.0,Daily,Weekly,Stocks,Do not know,GB,1000,1000.0
929,st9psvu2,xm39f2ij,2,Trade_ends,2021-11-17 17:54:13.177175+00:00,"{""currentPrice"": 47, ""priceIndex"": 30, ""secs_since_round_starts"": 60}",True,0.02,False,47.0,10.0,30.0,47,30,60,2.0,0,0,1,0,1,1,Female,30.0,undergraduate: 4th year,48,7,Other,0.0,0.0,0.0,Less than once a month,Monthly,Stocks,No,GB,60,1000.0
939,r3dz4ifq,xm39f2ij,2,Trade_ends,2021-11-17 17:54:25.467929+00:00,"{""currentPrice"": 19, ""priceIndex"": 6, ""secs_since_round_starts"": 13}",False,0.02,False,19.0,10.0,30.0,19,6,13,2.0,0,1,0,0,1,0,Female,51.0,undergraduate: 4th year,46,8,Other,0.0,0.0,0.0,Less than once a month,Less than once a month,Stocks,No,GB,1000,1000.0
943,c626z10h,xm39f2ij,2,Trade_ends,2021-11-17 17:54:28.937074+00:00,"{""currentPrice"": 0, ""priceIndex"": 3, ""secs_since_round_starts"": 6}",True,0.02,False,0.0,10.0,30.0,0,3,6,2.0,1,0,0,0,1,1,Male,20.0,undergraduate: 3d year,18,5,Other,0.0,0.0,0.0,Less than once a month,Less than once a month,Cryptocurrencies,No,CA,6,0.0
945,u6wo1qao,xm39f2ij,2,Trade_ends,2021-11-17 17:54:30.406958+00:00,"{""currentPrice"": 19, ""priceIndex"": 6, ""secs_since_round_starts"": 15}",False,0.02,False,19.0,10.0,30.0,19,6,15,2.0,0,1,0,0,1,0,Female,48.0,master,7,7,Other,0.0,0.0,0.0,Less than once a month,Less than once a month,Stocks,No,GB,1000,1000.0
963,u604bpn2,tcbozsj9,2,Trade_ends,2021-11-17 17:54:52.212584+00:00,"{""currentPrice"": 44, ""priceIndex"": 30, ""secs_since_round_starts"": 60}",False,0.02,False,44.0,10.0,30.0,44,30,60,2.0,0,0,1,0,1,0,Female,36.0,master,41,6,Other,0.0,0.0,0.0,Less than once a month,Less than once a month,Stocks,No,GB,60,1000.0
